kind,width,height,depth,seed,time
array,15,15,10,1897378425860843589,0.002705812454223633
lazy,15,15,10,1897378425860843589,4.291534423828125e-05
list,55,55,10,6757828938340735367,0.35647106170654297
array,55,55,10,6757828938340735367,0.6911029815673828
lazy,55,55,10,6757828938340735367,0.0006852149963378906
list,55,55,10,7564776570512634437,0.3611619472503662
array,55,55,10,7564776570512634437,0.7330429553985596
lazy,55,55,10,7564776570512634437,0.0006730556488037109
list,55,55,10,7404969417978723277,0.2522430419921875
array,55,55,10,7404969417978723277,0.5006389617919922
lazy,55,55,10,7404969417978723277,0.0005390644073486328
list,55,55,10,7887259101635520834,0.16250896453857422
array,55,55,10,7887259101635520834,0.3340890407562256
lazy,55,55,10,7887259101635520834,0.0003139972686767578
list,55,55,10,8594196884767128167,0.5126540660858154
array,55,55,10,8594196884767128167,1.0124061107635498
lazy,55,55,10,8594196884767128167,0.0013041496276855469
list,55,55,10,2492568693218986580,0.34590792655944824
array,55,55,10,2492568693218986580,0.6989541053771973
lazy,55,55,10,2492568693218986580,0.0007641315460205078
list,55,55,10,4023496949820156229,0.33899807929992676
array,55,55,10,4023496949820156229,0.685053825378418
lazy,55,55,10,4023496949820156229,0.0007259845733642578
list,55,55,10,3440906641793638283,0.17260384559631348
array,55,55,10,3440906641793638283,0.3513929843902588
lazy,55,55,10,3440906641793638283,0.0004029273986816406
list,55,55,10,8062835143448982612,0.1462860107421875
array,55,55,10,8062835143448982612,0.2955970764160156
lazy,55,55,10,8062835143448982612,0.0003101825714111328
list,55,55,10,2408130225617824075,0.1525280475616455
array,55,55,10,2408130225617824075,0.30950093269348145
lazy,55,55,10,2408130225617824075,0.0003070831298828125
list,55,55,10,5785034832289751076,0.3731667995452881
array,55,55,10,5785034832289751076,0.7563149929046631
lazy,55,55,10,5785034832289751076,0.0008900165557861328
list,55,55,10,5642576052520863625,0.12129688262939453
array,55,55,10,5642576052520863625,0.23778295516967773
lazy,55,55,10,5642576052520863625,0.00026416778564453125
list,55,55,10,1723009292323251641,0.12272310256958008
array,55,55,10,1723009292323251641,0.2489793300628662
lazy,55,55,10,1723009292323251641,0.00027871131896972656
list,55,55,10,6808218593903956257,0.3413257598876953
array,55,55,10,6808218593903956257,0.6911869049072266
lazy,55,55,10,6808218593903956257,0.0007569789886474609
list,55,55,10,6759529700470799311,0.3396289348602295
array,55,55,10,6759529700470799311,0.6879827976226807
lazy,55,55,10,6759529700470799311,0.0007929801940917969
list,55,55,10,4898004855351610578,0.6137170791625977
array,55,55,10,4898004855351610578,1.2476239204406738
lazy,55,55,10,4898004855351610578,0.0015442371368408203
list,55,55,10,6782780175303583378,0.12514114379882812
array,55,55,10,6782780175303583378,0.25288891792297363
lazy,55,55,10,6782780175303583378,0.0002689361572265625
list,55,55,10,5396154357928470559,0.29076600074768066
array,55,55,10,5396154357928470559,0.5881202220916748
lazy,55,55,10,5396154357928470559,0.0006561279296875
list,55,55,10,1536363813157333146,0.43356966972351074
array,55,55,10,1536363813157333146,0.8770160675048828
lazy,55,55,10,1536363813157333146,0.001093149185180664
list,55,55,10,1897378425860843589,0.15473198890686035
array,55,55,10,1897378425860843589,0.31267309188842773
lazy,55,55,10,1897378425860843589,0.00032806396484375
list,105,105,10,6757828938340735367,3.2386631965637207
array,105,105,10,6757828938340735367,5.732605934143066
lazy,105,105,10,6757828938340735367,0.0018749237060546875
list,105,105,10,7564776570512634437,5.718657732009888
array,105,105,10,7564776570512634437,11.697998762130737
lazy,105,105,10,7564776570512634437,0.0057218074798583984
list,105,105,10,7404969417978723277,2.6225578784942627
array,105,105,10,7404969417978723277,5.35629415512085
lazy,105,105,10,7404969417978723277,0.0017232894897460938
list,105,105,10,7887259101635520834,4.605699062347412
array,105,105,10,7887259101635520834,9.462333917617798
lazy,105,105,10,7887259101635520834,0.0033600330352783203
list,105,105,10,8594196884767128167,4.013297080993652
array,105,105,10,8594196884767128167,8.350221872329712
lazy,105,105,10,8594196884767128167,0.0024650096893310547
list,105,105,10,2492568693218986580,3.341520309448242
array,105,105,10,2492568693218986580,6.564120769500732
lazy,105,105,10,2492568693218986580,0.0023190975189208984
list,105,105,10,4023496949820156229,2.9217727184295654
array,105,105,10,4023496949820156229,5.9218220710754395
lazy,105,105,10,4023496949820156229,0.0019431114196777344
list,105,105,10,3440906641793638283,3.5614590644836426
array,105,105,10,3440906641793638283,7.261417865753174
lazy,105,105,10,3440906641793638283,0.0024068355560302734
