kind,width,height,depth,num_filled,time
list,35,35,10,169,0.11768817901611328
list,35,35,10,82,0.053961992263793945
list,35,35,10,156,0.09935116767883301
list,35,35,10,146,0.09442687034606934
list,35,35,10,185,0.1200101375579834
list,35,35,10,101,0.06679201126098633
list,35,35,10,147,0.09468603134155273
list,35,35,10,72,0.04576587677001953
list,35,35,10,125,0.08169412612915039
list,35,35,10,104,0.06811904907226562
list,35,35,10,93,0.060626983642578125
list,35,35,10,127,0.0817570686340332
list,35,35,10,78,0.05171680450439453
list,35,35,10,75,0.04922318458557129
list,35,35,10,103,0.06730103492736816
list,35,35,10,75,0.04925799369812012
list,35,35,10,210,0.13184785842895508
list,35,35,10,183,0.1171882152557373
list,35,35,10,65,0.04257822036743164
list,35,35,10,112,0.0725858211517334
list,35,35,10,98,0.06449699401855469
list,35,35,10,160,0.10139703750610352
list,35,35,10,75,0.0494840145111084
list,35,35,10,165,0.10443615913391113
list,35,35,10,90,0.05918002128601074
list,35,35,10,90,0.05899190902709961
list,35,35,10,103,0.06779599189758301
list,35,35,10,105,0.0680382251739502
list,35,35,10,66,0.04297590255737305
list,35,35,10,91,0.0601191520690918
list,35,35,10,45,0.02993011474609375
list,35,35,10,103,0.06710410118103027
list,35,35,10,115,0.07571983337402344
list,35,35,10,64,0.04153609275817871
list,35,35,10,127,0.08293604850769043
list,35,35,10,98,0.06433987617492676
list,35,35,10,110,0.07126593589782715
list,35,35,10,208,0.13092899322509766
list,35,35,10,149,0.09719395637512207
list,35,35,10,78,0.05120205879211426
list,35,35,10,162,0.10471606254577637
list,35,35,10,75,0.04980731010437012
list,35,35,10,118,0.07736802101135254
list,35,35,10,90,0.059973955154418945
list,35,35,10,63,0.041040897369384766
list,35,35,10,136,0.08846712112426758
list,35,35,10,148,0.09532380104064941
list,35,35,100,138,0.08950209617614746
list,35,35,100,81,0.052864789962768555
list,35,35,100,79,0.05151104927062988
list,35,35,100,92,0.060236215591430664
list,35,35,100,88,0.058480262756347656
list,35,35,100,135,0.08732891082763672
list,35,35,100,246,0.15391302108764648
list,35,35,100,113,0.07384014129638672
list,35,35,100,65,0.04257464408874512
list,35,35,100,129,0.08387994766235352
list,35,35,100,131,0.0840139389038086
list,35,35,100,289,0.17645692825317383
list,35,35,100,104,0.06787824630737305
list,35,35,100,178,0.1148521900177002
list,35,35,100,290,0.17657208442687988
list,35,35,100,171,0.11062979698181152
list,35,35,100,148,0.10644888877868652
list,35,35,100,108,0.07064199447631836
list,35,35,100,130,0.08442997932434082
list,35,35,100,82,0.0535888671875
list,35,35,100,142,0.09208011627197266
list,35,35,100,87,0.05737709999084473
list,35,35,100,124,0.08037495613098145
list,35,35,100,142,0.09042906761169434
list,35,35,100,219,0.1370689868927002
list,35,35,100,138,0.08918094635009766
list,35,35,100,62,0.04037618637084961
list,35,35,100,52,0.03409910202026367
list,35,35,100,63,0.04215812683105469
list,35,35,100,130,0.08414697647094727
list,35,35,100,84,0.054264068603515625
list,35,35,100,121,0.07871627807617188
list,35,35,100,71,0.04642200469970703
list,35,35,100,136,0.08836793899536133
list,35,35,100,104,0.06792426109313965
list,35,35,100,161,0.10308504104614258
list,35,35,100,138,0.0867757797241211
list,35,35,100,76,0.04915809631347656
list,35,35,100,102,0.06792783737182617
list,35,35,100,179,0.11354398727416992
list,35,35,100,153,0.09873509407043457
list,35,35,100,145,0.09378981590270996
list,35,35,100,146,0.09373998641967773
list,35,35,100,161,0.1024160385131836
list,35,35,100,73,0.048197031021118164
list,35,35,100,133,0.08619904518127441
list,35,35,100,137,0.08928513526916504
list,35,35,100,163,0.10493087768554688
list,35,35,100,122,0.07976698875427246
list,35,35,100,151,0.09676289558410645
list,55,55,2,114,0.18387699127197266
list,55,55,2,82,0.13332891464233398
list,55,55,2,299,0.48391199111938477
list,55,55,2,84,0.13463211059570312
list,55,55,2,242,0.38760805130004883
list,55,55,2,274,0.43154406547546387
list,55,55,2,166,0.2665860652923584
list,55,55,2,74,0.11897706985473633
list,55,55,2,115,0.18790316581726074
list,55,55,2,59,0.09630775451660156
list,55,55,2,183,0.29030394554138184
list,55,55,2,202,0.31922197341918945
list,55,55,2,238,0.38106489181518555
list,55,55,2,147,0.23681402206420898
