kind,width,height,depth,num_filled,time
lazy,55,55,100,326,0.000698089599609375
lazy,55,55,100,157,0.00032782554626464844
lazy,55,55,100,162,0.0003390312194824219
lazy,55,55,100,588,0.0012760162353515625
lazy,55,55,100,228,0.00047898292541503906
lazy,55,55,100,425,0.0009248256683349609
lazy,55,55,100,320,0.0006899833679199219
lazy,55,55,100,179,0.0003724098205566406
lazy,55,55,100,504,0.0010912418365478516
lazy,55,55,100,273,0.0005848407745361328
lazy,55,55,100,171,0.0003628730773925781
lazy,55,55,100,208,0.0004410743713378906
lazy,55,55,100,174,0.0003809928894042969
lazy,55,55,100,129,0.000270843505859375
lazy,55,55,100,192,0.00041604042053222656
lazy,55,55,100,309,0.0006568431854248047
lazy,55,55,100,140,0.0002892017364501953
lazy,55,55,100,590,0.0012691020965576172
lazy,55,55,100,167,0.00034117698669433594
lazy,55,55,100,272,0.00057220458984375
lazy,55,55,100,182,0.0003867149353027344
lazy,55,55,100,621,0.0013408660888671875
lazy,55,55,100,161,0.0003352165222167969
lazy,55,55,100,452,0.0009589195251464844
lazy,55,55,100,443,0.000946044921875
lazy,55,55,100,533,0.0011472702026367188
lazy,55,55,100,148,0.0003349781036376953
lazy,55,55,100,201,0.00041484832763671875
lazy,55,55,100,233,0.0004987716674804688
lazy,55,55,100,377,0.0008111000061035156
lazy,55,55,100,273,0.0005748271942138672
lazy,55,55,100,269,0.0005738735198974609
lazy,55,55,100,173,0.00036025047302246094
lazy,55,55,100,386,0.0008389949798583984
lazy,75,75,2,857,0.005683183670043945
lazy,75,75,2,541,0.002894878387451172
lazy,75,75,2,270,0.0006263256072998047
lazy,75,75,2,699,0.00603175163269043
lazy,75,75,2,611,0.0030159950256347656
lazy,75,75,2,1071,0.01522517204284668
lazy,75,75,2,892,0.007533073425292969
lazy,75,75,2,354,0.0011610984802246094
lazy,75,75,2,601,0.003780841827392578
lazy,75,75,2,978,0.008836746215820312
lazy,75,75,2,660,0.002710103988647461
lazy,75,75,2,691,0.004373073577880859
lazy,75,75,2,836,0.006909847259521484
lazy,75,75,2,479,0.0020339488983154297
lazy,75,75,2,479,0.0020329952239990234
lazy,75,75,2,881,0.005068778991699219
lazy,75,75,2,626,0.0023508071899414062
lazy,75,75,2,971,0.009846925735473633
lazy,75,75,2,346,0.0011639595031738281
lazy,75,75,2,247,0.0006902217864990234
lazy,75,75,2,445,0.001828908920288086
lazy,75,75,2,1554,0.027698993682861328
lazy,75,75,2,436,0.0013492107391357422
lazy,75,75,2,932,0.007071971893310547
lazy,75,75,2,371,0.0011258125305175781
lazy,75,75,2,566,0.0023250579833984375
lazy,75,75,2,427,0.0009748935699462891
lazy,75,75,2,562,0.002615213394165039
lazy,75,75,2,266,0.0005550384521484375
lazy,75,75,2,487,0.001277923583984375
lazy,75,75,2,781,0.006809234619140625
lazy,75,75,2,506,0.0022382736206054688
lazy,75,75,2,998,0.01564168930053711
lazy,75,75,2,337,0.0008361339569091797
lazy,75,75,2,505,0.001905202865600586
lazy,75,75,2,604,0.003554105758666992
lazy,75,75,2,725,0.003464937210083008
lazy,75,75,2,796,0.00700688362121582
lazy,75,75,2,624,0.0030329227447509766
lazy,75,75,2,306,0.0010561943054199219
lazy,75,75,2,196,0.0005869865417480469
lazy,75,75,2,500,0.002010822296142578
lazy,75,75,2,707,0.004216909408569336
lazy,75,75,2,472,0.002356290817260742
lazy,75,75,2,363,0.0011191368103027344
lazy,75,75,2,1259,0.018919944763183594
lazy,75,75,2,856,0.0051479339599609375
lazy,75,75,2,567,0.0019230842590332031
lazy,75,75,2,292,0.0010380744934082031
lazy,75,75,2,294,0.0008249282836914062
lazy,75,75,10,690,0.0015287399291992188
lazy,75,75,10,347,0.0006930828094482422
lazy,75,75,10,348,0.0006659030914306641
lazy,75,75,10,766,0.0017800331115722656
lazy,75,75,10,644,0.0013513565063476562
lazy,75,75,10,571,0.0011119842529296875
lazy,75,75,10,631,0.001260995864868164
lazy,75,75,10,309,0.0005991458892822266
lazy,75,75,10,883,0.0018718242645263672
lazy,75,75,10,450,0.0009260177612304688
lazy,75,75,10,442,0.000926971435546875
lazy,75,75,10,662,0.0013790130615234375
lazy,75,75,10,382,0.0007920265197753906
lazy,75,75,10,326,0.0006411075592041016
lazy,75,75,10,649,0.0013949871063232422
lazy,75,75,10,290,0.0005638599395751953
lazy,75,75,10,703,0.0015530586242675781
lazy,75,75,10,530,0.001071929931640625
lazy,75,75,10,378,0.0007808208465576172
lazy,75,75,10,265,0.000514984130859375
lazy,75,75,10,533,0.0010459423065185547
lazy,75,75,10,427,0.0009419918060302734
lazy,75,75,10,389,0.0008139610290527344
lazy,75,75,10,412,0.0008630752563476562
lazy,75,75,10,862,0.002112865447998047
lazy,75,75,10,351,0.0007011890411376953
lazy,75,75,10,475,0.0010099411010742188
lazy,75,75,10,693,0.0014910697937011719
lazy,75,75,10,624,0.0013477802276611328
lazy,75,75,10,681,0.001438140869140625
lazy,75,75,10,433,0.0008356571197509766
lazy,75,75,10,222,0.0004258155822753906
lazy,75,75,10,545,0.0011310577392578125
lazy,75,75,10,438,0.0009579658508300781
lazy,75,75,10,312,0.0006198883056640625
lazy,75,75,10,213,0.0004169940948486328
lazy,75,75,10,821,0.0018041133880615234
lazy,75,75,10,189,0.00036787986755371094
lazy,75,75,10,237,0.0004589557647705078
lazy,75,75,10,364,0.0007541179656982422
lazy,75,75,10,382,0.0007979869842529297
lazy,75,75,10,573,0.0011799335479736328
lazy,75,75,10,399,0.0008718967437744141
lazy,75,75,10,284,0.0005738735198974609
lazy,75,75,10,559,0.0011420249938964844
lazy,75,75,10,576,0.0012710094451904297
lazy,75,75,10,305,0.0006272792816162109
lazy,75,75,10,371,0.0007429122924804688
lazy,75,75,10,679,0.0013930797576904297
lazy,75,75,10,501,0.0010008811950683594
lazy,75,75,100,196,0.00044798851013183594
lazy,75,75,100,274,0.0005941390991210938
lazy,75,75,100,524,0.0011000633239746094
lazy,75,75,100,621,0.0013775825500488281
lazy,75,75,100,795,0.0017330646514892578
lazy,75,75,100,432,0.0009400844573974609
lazy,75,75,100,216,0.0004489421844482422
lazy,75,75,100,910,0.0019948482513427734
lazy,75,75,100,696,0.0015017986297607422
lazy,75,75,100,620,0.0013439655303955078
lazy,75,75,100,463,0.0009951591491699219
lazy,75,75,100,358,0.0007662773132324219
lazy,75,75,100,576,0.001255035400390625
lazy,75,75,100,407,0.0008609294891357422
lazy,75,75,100,725,0.0015680789947509766
lazy,75,75,100,357,0.000759124755859375
lazy,75,75,100,251,0.0005288124084472656
