kind,width,height,depth,seed,time
array,15,15,10,7404969417978723277,0.003673076629638672
list,15,15,10,7887259101635520834,0.004356861114501953
array,15,15,10,7887259101635520834,0.014492988586425781
list,15,15,10,8594196884767128167,0.0017888545989990234
array,15,15,10,8594196884767128167,0.003238201141357422
list,15,15,10,2492568693218986580,0.0021882057189941406
array,15,15,10,2492568693218986580,0.007650136947631836
list,15,15,10,4023496949820156229,0.001958131790161133
array,15,15,10,4023496949820156229,0.003225088119506836
list,15,15,10,3440906641793638283,0.003796815872192383
array,15,15,10,3440906641793638283,0.0137939453125
list,15,15,10,8062835143448982612,0.0008392333984375
array,15,15,10,8062835143448982612,0.0015990734100341797
list,15,15,10,2408130225617824075,0.0012238025665283203
array,15,15,10,2408130225617824075,0.0023360252380371094
list,105,105,10,6757828938340735367,3.1680190563201904
array,105,105,10,6757828938340735367,6.377679824829102
list,105,105,10,7564776570512634437,1.4655508995056152
array,105,105,10,7564776570512634437,3.182046890258789
list,105,105,10,7404969417978723277,2.2515718936920166
array,105,105,10,7404969417978723277,4.830517053604126
list,105,105,10,7887259101635520834,2.1644070148468018
array,105,105,10,7887259101635520834,4.553390979766846
list,105,105,10,8594196884767128167,1.843414068222046
array,105,105,10,8594196884767128167,3.993648052215576
list,105,105,10,2492568693218986580,1.409571886062622
array,105,105,10,2492568693218986580,3.0642471313476562
list,105,105,10,4023496949820156229,1.7512760162353516
array,105,105,10,4023496949820156229,3.7217721939086914
list,105,105,10,3440906641793638283,2.7407591342926025
array,105,105,10,3440906641793638283,5.916706800460815
list,105,105,10,8062835143448982612,1.4417941570281982
array,105,105,10,8062835143448982612,3.127288818359375
list,105,105,10,2408130225617824075,2.1556289196014404
array,105,105,10,2408130225617824075,4.631525039672852
list,35,35,10,6757828938340735367,0.08869624137878418
array,35,35,10,6757828938340735367,0.18264317512512207
list,35,35,10,7564776570512634437,0.058912038803100586
array,35,35,10,7564776570512634437,0.13611388206481934
list,35,35,10,7404969417978723277,0.04121589660644531
array,35,35,10,7404969417978723277,0.07599782943725586
list,35,35,10,7887259101635520834,0.05692005157470703
array,35,35,10,7887259101635520834,0.09124112129211426
list,35,35,10,8594196884767128167,0.035604238510131836
array,35,35,10,8594196884767128167,0.08397603034973145
list,35,35,10,2492568693218986580,0.020738840103149414
array,35,35,10,2492568693218986580,0.04778599739074707
list,35,35,10,4023496949820156229,0.04181408882141113
array,35,35,10,4023496949820156229,0.0833287239074707
list,35,35,10,3440906641793638283,0.04518890380859375
array,35,35,10,3440906641793638283,0.0834810733795166
list,35,35,10,8062835143448982612,0.037734270095825195
array,35,35,10,8062835143448982612,0.06782174110412598
list,35,35,10,2408130225617824075,0.055418968200683594
array,35,35,10,2408130225617824075,0.09643006324768066
